date,price
28-12-17,28.155
27-12-17,27.975
26-12-17,27.85
25-12-17,27.95
22-12-17,27.95
21-12-17,27.885
20-12-17,27.8575
19-12-17,27.9
18-12-17,27.82
15-12-17,27.6668
14-12-17,27.43
13-12-17,27.265
12-12-17,27.18
11-12-17,27.115
08-12-17,27.11
07-12-17,27.11
06-12-17,27.13
05-12-17,27.125
04-12-17,27.24
01-12-17,27.105
30-11-17,27.075
29-11-17,27.055
28-11-17,26.9
27-11-17,26.82
24-11-17,26.91
23-11-17,26.825
22-11-17,26.7
21-11-17,26.525
20-11-17,26.445
17-11-17,26.48
16-11-17,26.4775
15-11-17,26.49
14-11-17,26.515
13-11-17,26.5
10-11-17,26.51
09-11-17,26.54
08-11-17,26.63
07-11-17,26.725
06-11-17,26.81
03-11-17,26.955
02-11-17,26.9395
01-11-17,26.88
31-10-17,26.89
30-10-17,26.835
27-10-17,26.805
26-10-17,26.82
25-10-17,26.775
24-10-17,26.69
23-10-17,26.58
20-10-17,26.54
19-10-17,26.51
18-10-17,26.43
17-10-17,26.455
16-10-17,26.52
13-10-17,26.52
12-10-17,26.595
11-10-17,26.575
10-10-17,26.575
09-10-17,26.495
06-10-17,26.76
05-10-17,26.79
04-10-17,26.8
03-10-17,26.705
02-10-17,26.625
29-9-17,26.625
28-9-17,26.51
27-9-17,26.48
26-9-17,26.37
25-9-17,26.32
22-9-17,26.285
21-9-17,26.235
20-9-17,26.185
19-9-17,26.12
18-9-17,26.135
15-9-17,26.205
14-9-17,26.165
13-9-17,26.09
12-9-17,26.025
11-9-17,26.035
08-9-17,26.065
07-9-17,26.04
06-9-17,26.01
05-9-17,25.95
04-9-17,25.895
01-9-17,25.78
31-8-17,25.67
30-8-17,25.585
29-8-17,25.456
28-8-17,25.4925
25-8-17,25.555
24-8-17,25.555
23-8-17,25.555
22-8-17,25.465
21-8-17,25.485
18-8-17,25.47
17-8-17,25.53
16-8-17,25.5625
15-8-17,25.5925
14-8-17,25.6275
11-8-17,25.665
10-8-17,25.68
09-8-17,25.7125
08-8-17,25.715
07-8-17,25.765
04-8-17,25.87
03-8-17,25.885
02-8-17,25.945
01-8-17,25.845
31-7-17,25.8
28-7-17,25.93
27-7-17,25.91
26-7-17,25.865
25-7-17,25.84
24-7-17,25.8
21-7-17,25.88
20-7-17,25.8975
19-7-17,25.9425
18-7-17,25.92
17-7-17,26.4375
14-7-17,26.015
13-7-17,26.01
12-7-17,25.915
11-7-17,25.94
10-7-17,25.9988
07-7-17,26.045
06-7-17,26.0525
05-7-17,26.115
04-7-17,26.055
03-7-17,26.015
30-6-17,26.08
29-6-17,26.485
28-6-17,26.0355
27-6-17,26.08
26-6-17,26.06
23-6-17,26.035
22-6-17,26.025
21-6-17,26.0138
20-6-17,26.015
19-6-17,26.025
16-6-17,26.025
15-6-17,26.02
14-6-17,26.01
13-6-17,26.03
12-6-17,26.07
09-6-17,26.145
08-6-17,26.1225
07-6-17,26.185
06-6-17,26.235
05-6-17,26.2495
02-6-17,26.28
01-6-17,26.2725
31-5-17,26.3125
30-5-17,26.3
29-5-17,26.35
26-5-17,26.33
25-5-17,26.28
24-5-17,26.2625
23-5-17,26.2888
22-5-17,26.3438
19-5-17,26.3607
18-5-17,26.4
17-5-17,26.41
16-5-17,26.43
15-5-17,26.435
12-5-17,26.47
11-5-17,26.4225
