x y
183729.3882 0.8648689472544251
185253.5535 0.8689937072865468
185649.9391 0.8716598570148156
185935.0956 0.8735730682020268
195332.5978 0.8305335178879477
196856.7631 0.831683792992481 
197253.1487 0.8317865611114452 
197538.3052 0.8323614510646912 
206935.8074 0.7933130456085377 
208459.9727 0.8005583843141987 
208856.3583 0.8049587359549781 
209141.5148 0.8086660143802017
187478.0538 0.9310354496707304
189002.2191 0.9381481392458219
189398.6047 0.9392890466132547
189683.7612 0.9409548404362471
200955.5962 0.8953273053946369
202479.7615 0.8962534001440244
202876.1471 0.8988702079215048
203161.3036 0.9005883119424125
214433.1386 0.8590702433697011
215957.3039 0.8674873607044948
216353.6895 0.8703909060417709
216638.846 0.8778277865171872
