i 1 2 3 4 5 6 7 8 9 10 11 12
5700 0.8685689167759056 0.8654611709612167 0.8714212496152605 0.8729977083539489 0.831860351768709 0.8332211950293852 0.8307111522723214 0.8318737395544616 0.7920697337452469 0.8024909963963247 0.8037500503168983 0.8103229181029641
5800 0.8685792645656211 0.8655895924468556 0.8715295588896836 0.8730318212014762 0.8317483700431697 0.832904322483079 0.8312259408089802 0.8318137534277661 0.7922487707792112 0.8022780724680704 0.8038274027736815 0.8095632653276812
5900 0.8687590537668121 0.8653317200141116 0.8716503604371928 0.8732262132666442 0.8317508273738942 0.8325896750862424 0.8316195819286314 0.8323172387427502 0.7921487668736867 0.8021821329390322 0.8036098894476063 0.8093077864498269
6000 0.8687033962959133 0.8654827925620849 0.8717187105162071 0.8734424547242686 0.8314187488360641 0.8327985098922849 0.8315093971681772 0.8323708513530818 0.7922677133116046 0.8021950496302849 0.8038935442936592 0.8092654480113068
6100 0.8684886625954387 0.8653612015273968 0.8718739128658882 0.8736455879731254 0.831034535180118 0.8325884301760853 0.8314860999792835 0.8325999667743704 0.7919427879128885 0.8020509128566764 0.8041590292741337 0.8089921313988263
6200 0.8682549348129234 0.8654077244759452 0.8719665816538391 0.8738350714521662 0.8309727633197904 0.8324915880815196 0.8314846813775495 0.8325881472480353 0.7921474330311803 0.80189658277613 0.8044387501360599 0.8090446001785376
6300 0.8680727541786581 0.865491953118878 0.872001333633858 0.8739986670538158 0.831170350447095 0.8323042685126039 0.831397603909026 0.8328176019476161 0.792176950714632 0.8015020717018634 0.8046239926308718 0.8094577687357962
6400 0.8681896450650782 0.8654251014797149 0.8718010547732437 0.8740129978229046 0.831249362072611 0.8320082494548692 0.8315652284088455 0.8328018575239355 0.7920788155207938 0.8013753114642495 0.8046365030512104 0.8096222132245927
6500 0.8680595949163886 0.8655356723371517 0.8717979320063233 0.8740268144573653 0.8311593841532736 0.832079475283122 0.8318283796630473 0.8328826259003858 0.7919858170644491 0.8011654370663998 0.8044923212336269 0.8097653394463866
6600 0.8681173476872215 0.8654549115975597 0.8719697911769114 0.8741807128406117 0.831157692962692 0.8318078731166751 0.8318013585878561 0.8329805570798837 0.7918726890584651 0.8010602583226887 0.8044476862048847 0.8094544175292475
6700 0.8679735528045183 0.8653192442695719 0.8721725674887217 0.8742030069189376 0.8314479303342874 0.8317334783708838 0.8319588837990689 0.8329324167081716 0.7917363084519303 0.8009520024158647 0.8042011630984967 0.8094603442061371
6800 0.8677679071809012 0.8651996228848092 0.8722912277716725 0.873970557245343 0.8314305749645078 0.8313740063453762 0.8321450424684234 0.8328871586792986 0.7915826583895361 0.8009068639590537 0.804181716921233 0.8096542405207567
6900 0.867625164667424 0.8650593589043433 0.8724414060216605 0.8738866555487732 0.8314035085624971 0.8313734278033346 0.832276303661527 0.8329999210561716 0.7918243432872228 0.8008684707234975 0.8040530079746547 0.8099567131286675
7000 0.8675417398227009 0.865165483751554 0.8725921698854873 0.8738289964099667 0.8314651686564629 0.831585082810874 0.8324515205869445 0.8328997632491189 0.7918094371719768 0.8008117783998316 0.8043533067097249 0.8099100617984297
7100 0.867726057313339 0.8651630274540227 0.8727697638454294 0.8737256263002857 0.8311649945956961 0.8317675183285571 0.8325414274780608 0.8330667776225016 0.792316914899923 0.8007178950552029 0.80472497756289 0.8098553551406492
7200 0.8677518988627572 0.8652404870570006 0.8728711803864613 0.8737770886963816 0.8311510281627505 0.8316728218580438 0.8323893301085561 0.8331181733015812 0.7922548119302375 0.8010492952908805 0.8048663428553104 0.8096391089354931
7300 0.8678624820021658 0.865415016106966 0.8729785871693114 0.8736713341979861 0.831276288479113 0.8317765480942608 0.8321950350150504 0.833211525349522 0.7924978463941504 0.8014426398266299 0.8047099929373406 0.8096535654469492
7400 0.8678114981437153 0.8654513295340186 0.8727862207772367 0.8737741188571827 0.8311320538307659 0.8315696932628807 0.8321620598517357 0.8332028896603701 0.7926174528917916 0.8014708198830065 0.8046911176008221 0.8097494787367918
7500 0.8679041666084565 0.8654977208950874 0.8725564767498724 0.8737687734211146 0.8310538138663125 0.8315488959878489 0.8320825080163112 0.8332763772805906 0.7927992579417854 0.8013962441720175 0.8044865632551749 0.8096483879765565
7600 0.8681519753409933 0.8653907086658275 0.8726591963179942 0.8734688705318996 0.8308932485248426 0.8316436888682267 0.8320002736208265 0.8331845448182231 0.7928501007711329 0.8014919642666672 0.8046408524655608 0.8097694612116784
7700 0.8682312282112169 0.8651921832288718 0.8727436721600995 0.8733304652975097 0.8308621434156233 0.8317266724521065 0.8318433656401956 0.8330817214419802 0.79266228226726 0.801675733565618 0.8047818662856399 0.8097134601658165
7800 0.8683363160740598 0.8649795592279026 0.872723344699434 0.8730226481955299 0.8307760523668349 0.8318230890868117 0.8317659474457397 0.8330629400123599 0.7925909861400264 0.8015705038805346 0.8048552481144264 0.8097740284872152
7900 0.8683913864510378 0.8649021717988984 0.8725620457930994 0.8729432699531792 0.830860383494648 0.831845122471999 0.8317666712856763 0.8330866764894354 0.7925149518355254 0.8010720598197832 0.8049593066279067 0.8099773328770923
8000 0.8683695954662914 0.8647445970679176 0.8724931359031851 0.8729832073497868 0.8310327564343399 0.8318880379278998 0.8318432782813764 0.8329868179162021 0.7923301035449921 0.8007515906218111 0.8045979210796598 0.8102125825703058
8100 0.8683786083272784 0.8646034796941153 0.8725111128666461 0.8729121114109688 0.8311581727607603 0.8320440946426412 0.8318341166146737 0.8329566273798714 0.7920428139974999 0.8008851170586397 0.8046041204407385 0.810235928311063
8200 0.868335857978492 0.8646044854141474 0.8723422658036978 0.8729281529870321 0.8311604238048791 0.8320540601779578 0.8317717636970232 0.8327369151685555 0.7923238674767495 0.8009546047851042 0.8048329903584207 0.8100409876538366
8300 0.8681455548498761 0.8646660185120452 0.872371863924546 0.872937141922236 0.8308944727464717 0.8321572683063553 0.8318815928190589 0.8329362816250325 0.792427258374082 0.8008925748351623 0.8047758985548693 0.8096963622495551
8400 0.8682591133669436 0.8648619541826981 0.872041744429909 0.8730232914577356 0.8306106376802815 0.8319705188763115 0.8318876256200644 0.8328062052908632 0.7923958635847643 0.8006251390823895 0.8048849350460477 0.8093610583502473
8500 0.8682760559915141 0.8648559582377118 0.8719658166600898 0.8728226742235013 0.8303799781921468 0.8320429456152201 0.8320319424593287 0.8327135930709549 0.7928452495011747 0.8006825934972699 0.8049731968197409 0.8094863170922092
8600 0.868401429397839 0.8647793090389907 0.8719091256878656 0.8726112101122699 0.8301254791582398 0.8320473379183517 0.8317863307319026 0.8327303682956407 0.7930228429138225 0.80052122507725 0.8049346906489033 0.809440135861352
8700 0.8683846130803898 0.8647998684121839 0.8717581104728691 0.8726340381467155 0.830184690849531 0.8319141923939419 0.8317715429590337 0.8326296224098637 0.7930273193482393 0.8002298754464842 0.8048897862519905 0.8094712748296167
8800 0.868450894068327 0.8648419879696466 0.8715681859496678 0.8727282982823807 0.8303759278139426 0.8320529407837983 0.8319128957826402 0.8323315470656371 0.7930580512131175 0.7999684898807561 0.8050731660592928 0.8095958973544596
8900 0.868471264370329 0.8649342512217676 0.8713460547656052 0.8727056953763949 0.8305991764012168 0.8320519156354397 0.8318684205010645 0.8322354563670271 0.79297505852766 0.7999508639737246 0.8048779948704556 0.8094942002679604
9000 0.8684012208819257 0.8648712729814768 0.8712856401121971 0.8727755246405335 0.8309451407803757 0.8319919711792823 0.8320311383940755 0.8321862771165087 0.792811705712213 0.8002343327970245 0.8049214252664075 0.8093908934938887
9100 0.8683746830975987 0.8647536255212607 0.871312795567354 0.8728792361056531 0.8310361126148735 0.8316806981412682 0.8320600509649148 0.8320428564986863 0.7927770017719793 0.80015794968194 0.804582474352683 0.8092126534529451
9200 0.8684403796805203 0.8645371846893045 0.8713831312683367 0.8730019556857188 0.8311864620313368 0.8314530709649091 0.831927738958273 0.8320200090596366 0.7928519809810203 0.8000356371747026 0.8046504789942854 0.8093789922263555
9300 0.8683990242935967 0.8645899507966458 0.8714680850250096 0.8729718637168387 0.8310476554041639 0.8314859769177445 0.8319273797446266 0.8319197290929501 0.7926290304991306 0.7999957530393536 0.8049151086625119 0.8094105648421284
9400 0.8684129997176809 0.8647116424990027 0.8715112569927106 0.8730900664301696 0.8309046229713344 0.8313861466200556 0.8318532751267403 0.8319322231914026 0.7929000522176897 0.7998815082121564 0.8046320766423589 0.809200995043248
9500 0.8684385767787285 0.8647221402583414 0.8716586881805201 0.8730913260916521 0.8308250904962264 0.8314592376860392 0.8317331853616612 0.8318250568197675 0.7930412485666004 0.8000589999362302 0.8045662885200039 0.8091825167856571
9600 0.8685996288154185 0.8649182146729975 0.871723416523955 0.873170869164898 0.8306095487602932 0.8314105075496792 0.8319061599591921 0.8317444720519787 0.7931460888259824 0.8001141779680532 0.8043885717116035 0.8088771508228589
9700 0.8687075334632953 0.8649214167211535 0.8717759060201652 0.8732805675487684 0.8304133277310338 0.8314128020246727 0.8320469022742586 0.831710901324539 0.7934402162907316 0.8001391466676633 0.8045959818764722 0.8088838488684901
9800 0.8687958348100376 0.8649637786042045 0.8717417623881443 0.8733852882496212 0.8302729952319952 0.8314028556715596 0.8320462949487539 0.8317604145625143 0.793368358784748 0.8002038459599212 0.804645405594364 0.8091269312645598
9900 0.8688348853669048 0.864842668203588 0.8716843692652709 0.8734134354841562 0.830342517348449 0.8312925564757059 0.8319896395069306 0.8316810057753149 0.7934888928173979 0.800431517285782 0.8044745524904942 0.809072020603357
10000 0.8688635592015956 0.8647798191671324 0.8716973489933656 0.8733812976740503 0.8301225593803389 0.8311841242059412 0.8320452746918167 0.831709984286901 0.7935903194374595 0.8006066704347623 0.8044475893543398 0.8089817140535357
10100 0.8687726085334873 0.8646574264238968 0.8715967113211947 0.8733547990354623 0.8303401675001555 0.8314186454286433 0.8319394549835074 0.8316155723763413 0.7937422613682803 0.8007547541610771 0.804564988488137 0.8089783547648558
10200 0.8687719721979774 0.8647347660708394 0.8715761366033274 0.8732052926284858 0.8304804879438358 0.8313469064786386 0.8319015956485266 0.8315631135920161 0.7934809729339457 0.8007225309367625 0.8046847741627056 0.8088897582692895
10300 0.868765247011208 0.8647298244701832 0.8714883621330429 0.8732460105774134 0.8305669503221559 0.8314339343341617 0.8317489970594342 0.831594281967979 0.793551652988939 0.8006615712635053 0.804812808212312 0.8087499769418182
10400 0.8689110325763316 0.8648498533749996 0.8715729695687773 0.8733553857744247 0.8305442575880445 0.8315120203750247 0.8317521415231178 0.8317624294042061 0.7932450440499217 0.8005446454528439 0.8049497609985365 0.8089407350335805
10500 0.8690393123333051 0.8648494364722136 0.8716452472064035 0.8734676604498905 0.8306192946853759 0.8316065891428195 0.83165039322808 0.8318306492737392 0.7933389161142347 0.8005685632431836 0.8049437501724656 0.8087877598319609
10600 0.8689689472544251 0.8648937072865468 0.8716598570148156 0.8735730682020268 0.8305335178879477 0.831683792992481 0.8317865611114452 0.8323614510646912 0.7933130456085377 0.8005583843141987 0.8049587359549781 0.8086660143802017
